"Population","Popn.Geno","Tree.No","Rep.No","bayes.tree.no","ID","estimate_P12","estimate_P50","c","b","conf.low_P12","conf.low_P50","conf.low_c","conf.low_b","conf.high_P12","conf.high_P50","conf.high_c","conf.high_b"
"NRV-NEW","NRV105","7","2",41,"NRV105-7-2",1.86470392267451,2.21310977980151,9.86894597823682,2.29684551678718,1.77201273585833,2.13646691305274,9.03837561606848,2.22488280124373,1.95730657459097,2.29076190055431,10.7460397338693,2.37024010442909
"NRV-NEW","NRV105","7","3",42,"NRV105-7-3",1.93391382764852,2.2832592225308,10.1802626353475,2.36695947797357,1.84082425977169,2.20630717619682,9.33435679867255,2.29466093701717,2.02949304735788,2.36386042458853,11.08461385375,2.4433280637262
"NRV-NEW","NRV105","7","4",43,"NRV105-7-4",1.93191515279506,2.28096405112166,10.1785280674181,2.36459467711043,1.84717007031481,2.21202847797546,9.37845287855944,2.30018665930166,2.01731039713038,2.35102559675378,11.0428712693701,2.43036550396969
"NRV-NEW","NRV105","8","2",44,"NRV105-8-2",2.01199164371904,2.36222586685646,10.5341646270665,2.4458607917633,1.92180855064442,2.28829610404122,9.68549973347184,2.37654769549388,2.1039750326286,2.43914191765671,11.4364701436875,2.51857693963341
"NRV-NEW","NRV105","9","2",45,"NRV105-9-2",2.02121115844441,2.37166621172166,10.5726000795009,2.45532479165737,1.92377370179952,2.29030378900392,9.69355511721388,2.37855801168432,2.11987200098746,2.45513401899006,11.5137569127968,2.53454455672281
"NRV-NEW","NRV118","10","1",46,"NRV118-10-1",2.359194616128,2.71328215164379,12.0890307506727,2.79680260177756,2.2731395519637,2.6446687099391,11.1670731833,2.73290914795995,2.44606833085252,2.7848692830084,13.032132551318,2.86430209386411
"NRV-NEW","NRV118","11","1",47,"NRV118-11-1",2.14046461693862,2.49192397853798,11.1194534545605,2.57542999704311,2.06306934615369,2.43048798608324,10.3144816258346,2.51840527357933,2.21583262231805,2.5512613200859,11.9928992169246,2.63043359969617
"NRV-NEW","NRV118","12","1",48,"NRV118-12-1",2.01728872798625,2.36724663043648,10.567492088875,2.45079037981374,1.94220990434441,2.30760152049927,9.80678061753685,2.39547634196697,2.09593479179862,2.42997327878236,11.4316189026379,2.50914383202348
"NRV-NEW","NRV122","16","1",49,"NRV122-16-1",2.74653234719248,3.1027098214224,13.8638697773132,3.18582861872734,2.67291755584237,3.04630412583569,12.9285264196997,3.13390007168667,2.82066091351265,3.160651102165,14.8542470302549,3.23960691360661
"NRV-NEW","NRV122","17","1",50,"NRV122-17-1",2.72501936364324,3.08113564834706,13.7638609340503,3.16428425947266,2.64970081800568,3.02271036032395,12.8354044724907,3.11026751187122,2.80127660953367,3.14107685779001,14.7655530485657,3.22002089765226
"NRV-NEW","NRV122","18","1",51,"NRV122-18-1",2.4862998935411,2.84088022308974,12.6802879640727,2.92419166868819,2.41726250998918,2.78842781298485,11.8348390751258,2.87613365498739,2.55886787616716,2.8969516559038,13.6228446245153,2.97595000649509
"NRV-NEW","NRV123","19","1",52,"NRV123-19-1",2.40151385048453,2.75507844919366,12.3083835403363,2.83835148275362,2.33052638129552,2.70085262867607,11.4631875716264,2.78860242830901,2.46806309742388,2.80549168904433,13.19218741081,2.88452830553464
"NRV-NEW","NRV123","20","1",53,"NRV123-20-1",2.36928836432061,2.7226409506918,12.160864904877,2.80594693014119,2.29404150590242,2.66464194098407,11.2885677334041,2.75257630657564,2.44205941400944,2.77986873094755,13.0479206933013,2.85906161521179
"NRV-NEW","NRV123","22","1",54,"NRV123-22-1",2.09463609284444,2.44546673949486,10.9166769805717,2.5289638442797,2.02048719602188,2.38747094907466,10.1291532708137,2.47544106864239,2.17361394231921,2.50895356966243,11.7826786227775,2.5882237761356
"TSZ-SAN","TSZ3","30","1",55,"TSZ3-30-1",1.95767768119582,2.30718127370626,10.2912220223571,2.39083022900266,1.88042840909478,2.24554177510611,9.52686111801414,2.33361448571943,2.03932809303803,2.37319703195599,11.1498568415739,2.45250399339746
"TSZ-SAN","TSZ3","31","1",56,"TSZ3-31-1",2.23694404707649,2.58948203624006,11.5513978246178,2.67296074192352,2.16155326448254,2.53040476321071,10.7298700971819,2.61833197289243,2.31208275225712,2.64855532174479,12.4425527028733,2.72773266552389
"TSZ-SAN","TSZ4","32","2",57,"TSZ4-32-2",2.51695953734881,2.8718110292832,12.8174933948582,2.95511507839696,2.44299151511648,2.81453036429078,11.9410165157585,2.90225791601951,2.59463405264968,2.93318100449499,13.7841402231072,3.0122188499922
"TSZ-SAN","TSZ4","34","1",58,"TSZ4-34-1",2.37666550422601,2.73053809867327,12.1794799596158,2.81395608634394,2.30211306625759,2.67327844206773,11.3094418866514,2.76133233437876,2.44884216170301,2.78700999338987,13.0689009819372,2.86627706260528
"TSZ-SAN","TSZ7","36","1",59,"TSZ7-36-1",2.18623591992114,2.53830149676477,11.3218884080458,2.62181603672153,2.11015953246993,2.47929134908156,10.4864642459062,2.56747730005571,2.25765107464236,2.59440514360303,12.159148073343,2.67379880751283
"TSZ-SAN","TSZ7","37","1",60,"TSZ7-37-1",2.27478313442142,2.62773453487712,11.7203666136664,2.71120595211237,2.19814724729978,2.56757676968831,10.882134302348,2.6555261419404,2.34994733800928,2.68716482489851,12.6069613041715,2.7664334694044
"TSZ-SAN","TSZ7","83","1",61,"TSZ7-83-1",2.55150182198524,2.90710027019376,12.9567194387932,2.99050895505903,2.45852080924516,2.83094936882924,11.9850249469016,2.91885970304874,2.64298109086063,2.98228305436641,13.9964531415857,3.06140898108579
"TSZ-SAN","TSZ8","38","1",62,"TSZ8-38-1",1.99447096486701,2.34438218513268,10.4583184814266,2.42799792016234,1.91154239535464,2.27746915626137,9.65157123791199,2.36561785593795,2.07708479639887,2.41165282756144,11.3193780354724,2.49101828959516
"TSZ-SAN","TSZ8","39","1",63,"TSZ8-39-1",2.31397478970404,2.66675173647642,11.9138915523376,2.75006527231203,2.24702704249809,2.6168933217321,11.0940845362481,2.70479100624979,2.38160059075071,2.71877032564041,12.7675714757413,2.79794785982869
"TSZ-SAN","TSZ8","40","1",64,"TSZ8-40-1",2.56324787626832,2.91879561842691,13.0143793844786,3.00216358279431,2.47218083747617,2.84460119159822,12.0473800612607,2.93247126771278,2.65336666346127,2.99276788738125,14.0443892639528,3.07189742490085
"TSZ-SAN","TSZ10","21","1",65,"TSZ10-21-1",2.51634093099185,2.87157726442214,12.8015362854408,2.95497985605895,2.42916671678439,2.80104815584605,11.8678080855213,2.88890240186362,2.59895626527451,2.93783854341958,13.7928923382275,3.01695098900631
"TSZ-SAN","TSZ10","41","1",66,"TSZ10-41-1",2.73816410138161,3.09507303177112,13.7974347693671,3.17839180666036,2.64625849117243,3.01998467576334,12.7967500461895,3.10773091661989,2.83223363306106,3.17276519646954,14.8894389440737,3.25183398227881
"TSZ-SAN","TSZ10","41","2",67,"TSZ10-41-2",2.73315587123038,3.09006073929566,13.7738308608969,3.17338903955138,2.63296710768698,3.00671248354623,12.7359273823901,3.0944963363629,2.82665895471738,3.16717130799699,14.8625270461446,3.24624537656707
